"tag","freq"
"<U+05D5>",3
"<U+05DC>",3
"<U+0627>",3
"<U+062C>",3
"<U+0631>",3
"<U+0635>",3
"<U+064A>",3
"<U+1D31>",3
"<U+203D>",3
"<U+21AA>",3
"<U+21AB>",3
"<U+21AF>",3
"<U+21B1>",3
"<U+21B2>",3
"<U+21B4>",3
"<U+21B6>",3
"<U+2208>",3
"<U+22C6>",3
"<U+2318>",3
"<U+24C1>",3
"<U+24C4>",3
"<U+256F>",3
"<U+2570>",3
"<U+25C0>",3
"<U+261B>",3
"<U+261C>",3
"<U+261F>",3
"<U+2620>",3
"<U+262D>",3
"<U+262F>",3
"<U+263E>",3
"<U+2649>",3
"<U+2655>",3
"<U+26FA>",3
"<U+2705>",3
"<U+271E>",3
"<U+2767>",3
"<U+3001>",3
"<U+3042>",3
"<U+3051>",3
"<U+3053>",3
"<U+3055>",3
"<U+305A>",3
"<U+3060>",3
"<U+3064>",3
"<U+3073>",3
"<U+3087>",3
"<U+308F>",3
"<U+30A2>",3
"<U+30A3>",3
"<U+30A4>",3
"<U+30AB>",3
"<U+30AD>",3
"<U+30B7>",3
"<U+30C3>",3
"<U+30C6>",3
"<U+30C8>",3
"<U+30CB>",3
"<U+30CD>",3
"<U+30D0>",3
"<U+4E0A>",3
"<U+516B>",3
"<U+5350>",3
"<U+53BB>",3
"<U+5931>",3
"<U+6301>",3
"<U+662F>",3
"<U+6642>",3
"<U+672C>",3
"<U+6B63>",3
"<U+706B>",3
"<U+75F4>",3
"<U+76F4>",3
"<U+79C1>",3
"<U+7A1A>",3
"<U+8005>",3
"<U+82B8>",3
"<U+884C>",3
"<U+8981>",3
"<U+8C22>",3
"<U+90E8>",3
"<U+9B3C>",3
"<U+9E23>",3
"<U+AC10>",3
"<U+C0AC>",3
"<U+E004>",3
"<U+E007>",3
"<U+E019>",3
"<U+E041>",3
"<U+E050>",3
"<U+E055>",3
"<U+E103>",3
"<U+E104>",3
"<U+E10C>",3
"<U+E117>",3
"<U+E15A>",3
"<U+E20C>",3
"<U+E21C>",3
"<U+E21D>",3
"<U+E225>",3
"<U+E232>",3
"<U+E233>",3
"<U+E302>",3
"<U+E308>",3
"<U+E311>",3
"<U+E313>",3
"<U+E31C>",3
"<U+E324>",3
"<U+E336>",3
"<U+E339>",3
"<U+E424>",3
"<U+E43E>",3
"<U+E440>",3
"<U+E52B>",3
"<U+E52E>",3
"<U+FB02>",3
"<U+FE36>",3
"<U+026A>",2
"<U+0392>",2
"<U+0399>",2
"<U+03A8>",2
"<U+03AD>",2
"<U+03BE>",2
"<U+03CC>",2
"<U+03CD>",2
"<U+03D2>",2
"<U+03F7>",2
"<U+0402>",2
"<U+0412>",2
"<U+041C>",2
"<U+041E>",2
"<U+0420>",2
"<U+0421>",2
"<U+0431>",2
"<U+0437>",2
"<U+0439>",2
"<U+0475>",2
"<U+0489>",2
"<U+050D>",2
"<U+062F>",2
"<U+0634>",2
"<U+0641>",2
"<U+0646>",2
"<U+0CA5>",2
"<U+0E4F>",2
"<U+1D2E>",2
"<U+1D49>",2
"<U+1D52>",2
"<U+1D5B>",2
"<U+1D64>",2
"<U+1D67>",2
"<U+1DAB>",2
"<U+1F00>",2
"<U+1F78>",2
"<U+1FD6>",2
"<U+201F>",2
"<U+2027>",2
"<U+2092>",2
"<U+2153>",2
"<U+222B>",2
"<U+222E>",2
"<U+2282>",2
"<U+24BA>",2
"<U+24BB>",2
"<U+24CC>",2
"<U+253B>",2
"<U+256D>",2
"<U+256E>",2
"<U+25D0>",2
"<U+25E0>",2
"<U+2603>",2
"<U+261A>",2
"<U+263D>",2
"<U+264A>",2
"<U+264B>",2
"<U+267A>",2
"<U+2693>",2
"<U+269B>",2
"<U+26FD>",2
"<U+270D>",2
"<U+2721>",2
"<U+2724>",2
"<U+2726>",2
"<U+2742>",2
"<U+2756>",2
"<U+279E>",2
"<U+27A4>",2
"<U+302E>",2
"<U+303D>",2
"<U+3052>",2
"<U+3056>",2
"<U+305B>",2
"<U+306D>",2
"<U+3075>",2
"<U+3078>",2
"<U+3081>",2
"<U+308D>",2
"<U+30AA>",2
"<U+30B8>",2
"<U+30D6>",2
"<U+30D9>",2
"<U+30DE>",2
"<U+30E3>",2
"<U+30EB>",2
"<U+30ED>",2
"<U+30EF>",2
"<U+3268>",2
"<U+4E03>",2
"<U+4E0D>",2
"<U+4E5F>",2
"<U+4E86>",2
"<U+4EE5>",2
"<U+5165>",2
"<U+5206>",2
"<U+529F>",2
"<U+52A0>",2
"<U+52DD>",2
"<U+5373>",2
"<U+53EA>",2
"<U+5403>",2
"<U+56FD>",2
"<U+5929>",2
"<U+5E2E>",2
"<U+5E72>",2
"<U+5E74>",2
"<U+5F97>",2
"<U+5FC3>",2
"<U+5FD9>",2
"<U+6065>",2
"<U+610F>",2
"<U+611B>",2
"<U+6210>",2
"<U+6557>",2
"<U+65C5>",2
"<U+672A>",2
"<U+6751>",2
"<U+6761>",2
"<U+6765>",2
"<U+6797>",2
"<U+6837>",2
"<U+683C>",2
"<U+6B69>",2
"<U+6CB9>",2
"<U+7121>",2
"<U+7528>",2
"<U+767D>",2
"<U+77ED>",2
"<U+7814>",2
"<U+7A7A>",2
"<U+7B11>",2
"<U+7C89>",2
"<U+7D05>",2
"<U+7D4C>",2
"<U+7EA2>",2
"<U+7F8E>",2
"<U+805E>",2
"<U+80FD>",2
"<U+817F>",2
"<U+82B1>",2
"<U+82E5>",2
"<U+8336>",2
"<U+843D>",2
"<U+898B>",2
"<U+8A00>",2
"<U+8BDD>",2
"<U+8DDF>",2
"<U+8EE2>",2
"<U+9593>",2
"<U+963F>",2
"<U+9858>",2
"<U+98DF>",2
"<U+9A13>",2
"<U+BD80>",2
"<U+BED4>",2
"<U+C544>",2
"<U+C5C8>",2
"<U+C694>",2
"<U+C77C>",2
"<U+C798>",2
"<U+CD95>",2
"<U+D569>",2
"<U+D654>",2
"<U+E001>",2
"<U+E005>",2
"<U+E010>",2
"<U+E017>",2
"<U+E030>",2
"<U+E034>",2
"<U+E037>",2
"<U+E038>",2
"<U+E040>",2
"<U+E045>",2
"<U+E051>",2
"<U+E053>",2
"<U+E109>",2
"<U+E116>",2
"<U+E11E>",2
"<U+E140>",2
"<U+E155>",2
"<U+E210>",2
"<U+E214>",2
"<U+E22E>",2
"<U+E303>",2
"<U+E31A>",2
"<U+E31B>",2
"<U+E33E>",2
"<U+E33F>",2
"<U+E340>",2
"<U+E341>",2
"<U+E346>",2
"<U+E34C>",2
"<U+E41A>",2
"<U+E41B>",2
"<U+E431>",2
"<U+E445>",2
"<U+E44C>",2
